lp;tytul;rezyser_imie;rezyser_nazwisko;scenariusz_imie;scenariusz_nazwisko;rok_produkcji;kraj_produkcji;gatunek;ogarniczenie_wiekowe;
1;LeonZawodowiec;Luc;Besson;Luc;Besson;1994;Francja;Kryminal;18;
2;WielkiGatsby;Baz;Luhrmann;Craig;Pearce;2013;USA;Melodramat;18;
3;MilczenieOwiec;Jonathan;Demme;Ted;Tally;1991;USA;Thriller;18;
4;SkazaniNaShawshank;Frank;Darabont;Frank;Darabont;1994;USA;Dramat;16;
5;ZielonaMila;Frank;Darabont;Frank;Darabont;1999;USA;Dramat;18;
6;Whiplash;Damien;Chazelle;Damien;Chazelle;2014;USA;Dramat-Muzyczny;16;
7;PieknyUmysl;Ron;Howard;Akiva;Goldsman;2001;USA;Dramat-Biograficzny;12;
8;Vinci;Juliusz;Machulski;Juliusz;Machulski;2004;Polska;Komedia-Kryminalna;12;
9;Nietykalni;Olivier;Nakache;Olivier;Nakache;2011;Francja;Dramat;12;
10;DeadPool;Tim;Miller;Rhett;Reese;2016;Kanada;Komedia;16;
